,HIP,Sn,So,Nc,RArad,e_RArad,DErad,e_DErad,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Ntr,F2,F1,var,Hpmag,e_Hpmag,sHp,VA,bv,e_BV,VI,hip2_oid,ic,UW
0,HIP_677,75,4,1,0.036591419,0.27,0.507730737,0.17,33.63,0.35,137.46,0.37,-163.44,0.21,91,11.71,0,0.0,2.0371,0.0006,0.005,0,-0.038,0.005,-0.1,675,0,"7.73,-0.02,11.75,-1.87,-0.16,5.93,-0.05,-0.19,-0.98,5.41,-0.29,-1.15,0.59,1.05,9.51"
1,HIP_1067,1,1,1,0.05775222,0.42,0.265004093,0.24,8.11,0.51,1.94,0.52,-9.36,0.33,134,0.11,0,2.1,2.7544,0.0009,0.007,1,-0.19,0.002,-0.22,1065,0,"2.67,-1.73,4.19,0.10,-0.02,1.96,0.45,0.18,0.04,2.20,-0.01,-0.37,-0.09,-1.71,3.06"
2,HIP_2081,1,1,1,0.114673047,0.49,-0.738363655,0.52,38.5,0.73,233.05,0.66,-356.3,0.74,141,0.75,2,3.8,2.5512,0.0005,0.004,0,1.083,0.016,1.11,2076,0,"2.15,-0.25,2.15,0.05,0.21,1.42,0.01,-0.11,0.05,1.62,-0.11,0.48,-0.06,-0.26,1.41"
3,HIP_3092,5,0,1,0.171594766,0.13,0.538630004,0.11,30.92,0.15,114.46,0.18,-84.02,0.11,109,-1.09,0,0.0,3.4328,0.0005,0.004,0,1.268,0.04,1.23,3086,0,"8.63,-5.04,9.78,-0.09,-0.34,6.14,-3.06,2.14,-0.08,6.32,4.21,1.98,-0.65,-5.93,8.50"
4,HIP_3419,5,0,1,0.190184767,0.13,-0.313926858,0.12,33.84,0.17,232.54,0.19,31.97,0.12,114,1.12,1,0.0,2.2061,0.0008,0.007,2,1.019,0.021,1.0,3412,0,"10.44,-6.41,10.57,-0.58,1.45,6.59,2.42,0.32,-0.94,6.89,-1.16,4.65,-0.62,-5.62,8.66"
5,HIP_5447,5,0,1,0.304254351,0.51,0.621700772,0.4,16.54,0.56,175.91,0.6,-112.19,0.45,63,18.81,0,0.0,2.1741,0.003,0.016,2,1.576,0.01,1.74,5436,0,"7.32,-1.64,9.08,-2.16,0.16,5.87,-1.91,0.80,-1.10,5.44,1.42,-3.90,0.17,-1.27,7.11"
6,HIP_6867,75,4,1,0.385568084,0.21,-0.756036997,0.23,13.96,0.33,-18.06,0.28,-208.64,0.28,171,19.61,0,0.0,3.5329,0.0041,0.037,1,1.542,0.063,1.73,6853,0,"11.19,1.93,10.26,0.05,1.22,6.75,0.49,-1.45,0.16,8.14,-1.24,1.54,0.80,-0.11,8.09"
7,HIP_8903,75,4,1,0.500207682,0.56,0.363173344,0.41,55.6,0.58,98.72,0.72,-110.41,0.47,103,28.02,1,0.0,2.7044,0.0005,0.004,0,0.165,0.003,0.18,8884,0,"6.93,-4.34,11.93,-0.58,-0.40,6.32,1.21,-1.06,0.60,5.06,-2.59,7.22,-1.68,-1.00,7.62"
8,HIP_9884,5,0,1,0.554890042,0.22,0.409502719,0.14,49.55,0.25,188.53,0.31,-148.1,0.19,66,3.17,4,0.0,2.1726,0.0006,0.004,0,1.151,0.006,1.13,9861,0,"6.22,-1.98,10.05,-1.32,0.82,5.33,0.73,-0.74,0.83,4.31,-1.44,2.47,-0.44,-1.42,6.89"
9,HIP_10064,75,4,1,0.565233672,0.26,0.610645189,0.22,25.73,0.34,149.17,0.35,-39.07,0.35,83,9.62,1,0.0,3.0625,0.0005,0.003,0,0.14,0.002,0.17,10041,0,"7.69,-2.58,9.30,-1.39,0.75,5.89,-0.40,-0.01,0.79,5.58,0.12,1.98,-2.30,-1.86,5.25"
