id,sdbid,name,_r,raj2000,dej2000,pmra,pmde,main_id,sp_type,sp_bibcode,plx_value,plx_err,plx_bibcode,type_short,type_long,star_comp_no,teff,e_teff,plx_arcsec,e_plx_arcsec,lstar,e_lstar,rstar,e_rstar,logg,e_logg,mh,e_mh,a_v,distance,lstar_1pc,e_lstar_1pc,disk_r_comp_no,temp,e_temp,ldisk_lstar,e_ldisk_lstar,rdisk_bb,e_rdisk_bb,ldisk_1pc,e_ldisk_1pc,lam0,e_lam0,beta,e_beta,dmin,e_dmin,q,e_q,model_comps,parameters,evidence,chisq,dof,model_mtime,url,phot_url,mnest_url,model_url
sdb-v2-000823.26+290525.6,sdb-v2-000823.26+290525.6,HIP 677,-1,2.09691619,29.09043112,137.46,-163.44,* alf And,B8IV-VHgMn,2003AJ....126.2048G,33.62,0.35,2007A&A...474..653V,a2*,Variable Star of alpha2 CVn type,0,13325.1,399.319,0.03362,0.00035,253.291,27.1568,2.98305,0.0387697,4.3635,0.112502,-0.442099,0.704812,0,29.74419988,0.286009,0.0324763,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[1.332508e+04,4.363505e+00,-4.420991e-01,-1.996506e+00]",-25.5012,18.8741,15,1665331693,http://drgmk.com/sdb/seds/masters/sdb-v2-000823.26+290525.6/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-000823.26+290525.6/public/sdb-v2-000823.26+290525.6-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-000823.26+290525.6/public/sdb-v2-000823.26+290525.6-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-000823.26+290525.6/public/sdb-v2-000823.26+290525.6-mnest/phoenix_m_.json
sdb-v2-001314.15+151100.9,sdb-v2-001314.15+151100.9,HIP 1067,0.161,3.3089235,15.1835385,9.949,2.472,* gam Peg,B2IV,2007MNRAS.374..664C,8.33,0.53,2007A&A...474..653V,bC*,Variable Star of beta Cep type,0,24481.3,85.1492,0.00833,0.00053,9351.78,1183.11,5.37829,0.339217,4.40238,0.0824317,-2.59862,0.408779,0,120.0480192,0.649279,0.00963433,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[2.448135e+04,4.402382e+00,-2.598618e+00,-2.696586e+00]",-30.1519,26.0051,20,1665331816,http://drgmk.com/sdb/seds/masters/sdb-v2-001314.15+151100.9/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-001314.15+151100.9/public/sdb-v2-001314.15+151100.9-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-001314.15+151100.9/public/sdb-v2-001314.15+151100.9-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-001314.15+151100.9/public/sdb-v2-001314.15+151100.9-mnest/phoenix_m_.json
sdb-v2-002617.05-421821.6,sdb-v2-002617.05-421821.6,HIP 2081,-1,6.57104752,-42.30598719,233.05,-356.3,* alf Phe,K0.5IIIb,2006AJ....132..161G,38.5,0.73,2007A&A...474..653V,SB*,Spectroscopic binary,0,4510.6,11.5519,0.0385,0.00073,97.2285,3.69935,16.1487,0.317942,2.82865,0.0801992,-0.304969,0.044932,0,25.97402597,0.144453,0.000921609,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[4.510604e+03,2.828650e+00,-3.049695e-01,-4.117676e-01]",-171.661,299.767,21,1665331825,http://drgmk.com/sdb/seds/masters/sdb-v2-002617.05-421821.6/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-002617.05-421821.6/public/sdb-v2-002617.05-421821.6-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-002617.05-421821.6/public/sdb-v2-002617.05-421821.6-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-002617.05-421821.6/public/sdb-v2-002617.05-421821.6-mnest/phoenix_m_.json
sdb-v2-003919.68+305139.7,sdb-v2-003919.68+305139.7,HIP 3092,-1,9.83197992,30.86102176,114.45,-84.02,* del And,K3III-IIIbCN0.5,1989ApJS...71..245K,30.91,0.15,2007A&A...474..653V,SB*,Spectroscopic Binary,0,4471.04,10.5938,0.03091,0.00015,76.5079,0.898336,14.5783,0.120216,2.0731,0.057561,0.428195,0.0615071,0,32.35198965,0.0730936,0.000515714,1,62.7475,15.6251,3.76E-05,6.96E-06,172.628,104.147,2.75E-06,5.02E-07,120.425,237.679,1.60052,0.98692,None,None,None,None,"('phoenix_m', 'modbb_disk_r')","[4.471043e+03,2.073098e+00,4.281953e-01,-6.920795e-01,1.797596e+00,2.080715e+00,1.600522e+00,2.315585e+00]",-37.623,16.2859,21,1665331886,http://drgmk.com/sdb/seds/masters/sdb-v2-003919.68+305139.7/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-003919.68+305139.7/public/sdb-v2-003919.68+305139.7-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-003919.68+305139.7/public/sdb-v2-003919.68+305139.7-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-003919.68+305139.7/public/sdb-v2-003919.68+305139.7-mnest/phoenix_m+modbb_disk_r_.json
sdb-v2-004335.37-175911.8,sdb-v2-004335.37-175911.8,HIP 3419,-1,10.89737874,-17.98660632,232.55,31.99,* bet Cet,G9.5IIICH-1,1989ApJS...71..245K,33.86,0.16,2007A&A...474..653V,PM*,High proper-motion Star,0,6081.3,16.1524,0.03386,0.00016,81.0104,0.986337,8.10766,0.0742366,2.03173,0.0276304,0.487395,0.0116373,0,29.53337271,0.0928559,0.000714388,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[6.081300e+03,2.031726e+00,4.873945e-01,-1.122373e+00]",-4693.56,9341.19,27,1665331915,http://drgmk.com/sdb/seds/masters/sdb-v2-004335.37-175911.8/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-004335.37-175911.8/public/sdb-v2-004335.37-175911.8-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-004335.37-175911.8/public/sdb-v2-004335.37-175911.8-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-004335.37-175911.8/public/sdb-v2-004335.37-175911.8-mnest/phoenix_m_.json
sdb-v2-010943.92+353714.0,sdb-v2-010943.92+353714.0,HIP 5447,-1,17.43301617,35.62055765,175.9,-112.2,* bet And,M0+IIIa,1989ApJS...71..245K,16.52,0.56,2007A&A...474..653V,PM*,High proper-motion Star,0,3927.1,4.16372,0.01652,0.00056,1393.44,96.9302,80.6001,2.79535,2.24471,0.0300029,0.459184,0.0277815,0,60.53268765,0.379386,0.00464135,1,537.726,234.444,0.00095412,0.000938908,9.94061,10.0344,0.000361258,0.000357006,16.1829,5.38879,2.40058,0.384352,None,None,None,None,"('phoenix_m', 'modbb_disk_r')","[3.927101e+03,2.244713e+00,4.591843e-01,2.484473e-01,2.730561e+00,1.209058e+00,2.400581e+00,7.161094e-01]",-276.54,486.583,39,1658917479,http://drgmk.com/sdb/seds/masters/sdb-v2-010943.92+353714.0/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-010943.92+353714.0/public/sdb-v2-010943.92+353714.0-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-010943.92+353714.0/public/sdb-v2-010943.92+353714.0-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-010943.92+353714.0/public/sdb-v2-010943.92+353714.0-mnest/phoenix_m+modbb_disk_r_.json
sdb-v2-012821.93-431905.7,sdb-v2-012821.93-431905.7,HIP 6867,-1,22.09136361,-43.31823616,-18.06,-208.63,* gam Phe,M0III,1989ApJS...71..245K,13.96,0.34,2007A&A...474..653V,SB*,Spectroscopic Binary,0,3460.64,6.73489,0.01396,0.00034,497.22,25.0045,62.0299,1.62591,4.48145,0.017053,-3.96496,0.0336033,0,71.63323782,0.097169,0.000663757,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[3.460637e+03,4.481448e+00,-3.964956e+00,-1.235921e-01]",-296.496,548.154,21,1665331994,http://drgmk.com/sdb/seds/masters/sdb-v2-012821.93-431905.7/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-012821.93-431905.7/public/sdb-v2-012821.93-431905.7-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-012821.93-431905.7/public/sdb-v2-012821.93-431905.7-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-012821.93-431905.7/public/sdb-v2-012821.93-431905.7-mnest/phoenix_m_.json
sdb-v2-015438.41+204828.9,sdb-v2-015438.41+204828.9,HIP 8903,-1,28.66004579,20.80803147,98.74,-110.41,* bet Ari,kA4hA5mA5Va,2003AJ....126.2048G,55.6,0.58,2007A&A...474..653V,SB*,Spectroscopic binary,0,8191.79,38.2672,0.0556,0.00058,21.5019,0.490926,2.30144,0.0293392,3.74407,0.045914,0.398174,0.0831292,0,17.98561151,0.0664306,0.000505649,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[8.191789e+03,3.744071e+00,3.981740e-01,-1.785741e+00]",-41.6982,41.8336,25,1665332064,http://drgmk.com/sdb/seds/masters/sdb-v2-015438.41+204828.9/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-015438.41+204828.9/public/sdb-v2-015438.41+204828.9-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-015438.41+204828.9/public/sdb-v2-015438.41+204828.9-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-015438.41+204828.9/public/sdb-v2-015438.41+204828.9-mnest/phoenix_m_.json
sdb-v2-020710.41+232744.7,sdb-v2-020710.41+232744.7,HIP 9884,-1,31.7933571,23.46241755,188.55,-148.08,* alf Ari,K2-IIIbCa-1,1989ApJS...71..245K,49.56,0.25,2007A&A...474..653V,PM*,High proper-motion Star,0,4484.87,8.8731,0.04956,0.00025,85.3705,1.07884,15.3009,0.134227,2.37898,0.18671,-0.195493,0.0527465,0,20.17756255,0.209699,0.00164706,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[4.484872e+03,2.378977e+00,-1.954930e-01,-2.397822e-01]",-237.436,432.051,40,1665332166,http://drgmk.com/sdb/seds/masters/sdb-v2-020710.41+232744.7/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-020710.41+232744.7/public/sdb-v2-020710.41+232744.7-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-020710.41+232744.7/public/sdb-v2-020710.41+232744.7-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-020710.41+232744.7/public/sdb-v2-020710.41+232744.7-mnest/phoenix_m_.json
sdb-v2-020932.63+345914.3,sdb-v2-020932.63+345914.3,HIP 10064,-1,32.38594634,34.98729706,149.16,-39.1,* bet Tri,A5III,1995ApJS...99..135A,25.71,0.34,2007A&A...474..653V,SB*,Spectroscopic binary,0,7884.55,33.7421,0.02571,0.00034,72.24,2.16187,4.55578,0.0721774,3.32247,0.0440523,0.0582272,0.194001,0,38.89537145,0.0476183,0.000503707,1,83.8234,1.59637,2.80E-05,6.81E-07,93.6934,3.91685,1.33E-06,3.04E-08,141.972,20.5324,0.825562,0.173267,None,None,None,None,"('phoenix_m', 'modbb_disk_r')","[7.884553e+03,3.322472e+00,5.822725e-02,-1.863489e+00,1.923365e+00,2.152204e+00,8.255619e-01,1.481602e+00,9.142575e-01,9.258423e-01]",-125.193,150.894,224,1658837100,http://drgmk.com/sdb/seds/masters/sdb-v2-020932.63+345914.3/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-020932.63+345914.3/public/sdb-v2-020932.63+345914.3-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-020932.63+345914.3/public/sdb-v2-020932.63+345914.3-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-020932.63+345914.3/public/sdb-v2-020932.63+345914.3-mnest/phoenix_m+modbb_disk_r_.json
