,plx_arcsec
0,922070196311719.2
1,3721488595438175.0
2,805194805194805.2
3,1002911679068262.6
4,915534554046072.1
5,1876513317191283.2
6,2220630372492836.8
7,557553956834532.44
8,625504439063761.1
9,1205756514974718.0
10,1532377656945131.0
11,2368220015278839.0
12,3831891223733004.0
13,7142857142857142.0
14,1932668329177057.5
15,633428688189620.0
16,4276392931536329.0
17,2027468933943754.2
18,849315068493150.8
19,8201058201058201.0
20,2399380804953560.5
21,1272577996715927.8
22,1524090462143559.5
23,6581740976645435.0
24,2.108843537414966e+16
25,2.2142857142857144e+16
26,1.8787878787878788e+16
27,4229195088676671.0
28,2483974358974359.0
29,6997742663656885.0
30,6150793650793651.0
31,828655439721999.5
32,4732824427480915.0
33,6552248900913088.0
34,3444444444444444.5
35,4682779456193354.0
36,2201704545454545.2
37,1038873994638069.6
38,8031088082901555.0
39,81748899026924.39
40,3850931677018633.5
41,1.0652920962199314e+16
42,2.6271186440677964e+16
43,1.5270935960591132e+16
44,7673267326732673.0
45,1.8902439024390244e+16
46,1536936043629152.0
47,1840855106888361.0
48,483468496568933.25
49,108940118077031.2
50,1.076388888888889e+16
51,321110420551066.94
52,1.1397058823529412e+16
53,1.0299003322259136e+16
54,603935320475355.5
55,1.0616438356164384e+16
56,1588928754484879.8
57,5175292153589316.0
58,2108241182791311.5
59,1713653952459922.8
60,2344931921331316.0
61,753707755895939.8
62,1236537694455524.5
63,1113505747126436.8
64,1366240634640811.0
65,555356503045503.4
66,340996590034099.6
67,3021442495126705.5
68,1460197833254828.0
69,825565912117177.1
70,1384546672621706.0
71,1237031125299281.8
72,362234166861416.2
73,1885644768856447.8
74,1041666666666666.6
75,1272055806319245.0
76,558659217877094.94
77,2373660030627871.5
78,353276353276353.3
79,3629976580796252.5
80,959752321981424.1
81,559062218214607.75
82,348981200045029.8
83,2905342080599812.0
84,4415954415954415.5
85,1925465838509316.8
86,720427608645131.4
87,3638497652582159.5
88,2740937223695844.0
89,1759364358683314.5
90,713299585826046.9
91,4000000000000000.0
92,702947845804988.6
93,5565529622980251.0
94,4668674698795180.0
95,3841387856257744.5
96,1626442812172088.0
97,1011749347258485.6
98,6623931623931623.0
99,5263157894736842.0
100,1322525597269624.5
101,4505813953488372.0
102,3479236812570146.5
103,332190312901843.1
104,605587028716546.2
105,8318797799543808.0
106,869321368480089.9
107,839880791113519.5
108,3417861080485115.5
109,3579676674364896.5
110,5477031802120141.0
111,2540983606557376.5
112,5429071803852890.0
113,461790555638313.75
114,2854511970534070.0
115,4592592592592593.0
116,777917189460476.9
117,1.8343195266272188e+16
118,1253335489609444.5
119,920700920700920.8
120,1387024608501118.5
121,3304904051172708.0
122,574819210087150.0
123,1362038664323374.2
124,743048897411313.5
125,2164804469273743.0
126,838290968090860.0
127,789205702647657.8
128,1094652094846307.4
129,4843750000000000.0
130,4127829560585885.0
131,3753026634382566.5
132,159015132085150.03
133,2456418383518225.5
134,5278482521411908.0
135,934579439252336.5
136,691038787338386.1
137,1360245721807810.2
138,5107084019769357.0
139,6553911205073996.0
140,367865195205885.9
141,2006472491909385.0
142,4975922953451043.0
143,960049550944564.9
144,1682040151926207.5
145,1864011352430430.0
146,238810569293582.9
147,1862980769230769.5
148,1267375306623058.0
